NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
624,Hektor,MBA,1.37,0.26,19,B,239.0,14.1,6,9.82e+18,6.77e+17,7,-,D,-,-,-,-,X,1.63,0.32,20,C
626,Notburga,MBA,1.72,1.88,109,E,100.2,2.0,2,9.07e+17,9.87e+17,109,-,CX,Xc,C,Cb,-,Cb,6.81,2.9,43,E
635,Vundtia,MBA,1.08,0.61,56,D,88.2,7.5,8,3.88e+17,1.94e+17,50,-,C,-,Caa,B,-,-,-,-,-,-
654,Zelinda,MBA,1.31,0.24,18,B,123.9,4.3,3,1.31e+18,1.91e+17,15,Y,C,Ch,-,-,-,Ch,1.23,0.19,15,B
663,Gerlinde,MBA,2.35,1.51,64,D,109.3,15.7,14,1.61e+18,7.69e+17,48,-,X,-,X,X,-,-,-,-,-,-
665,Sabine,MBA,9.05,5.19,57,X,52.8,1.2,2,6.98e+17,3.98e+17,57,-,-,-,X,X,-,X,9.1,5.2,57,E
667,Denise,MBA,1.44,0.73,51,D,86.7,3.4,4,4.91e+17,2.44e+17,50,-,-,-,C,C,-,-,-,-,-,-
674,Rachele,MBA,2.53,1.21,48,C,99.5,2.6,3,1.30e+18,6.17e+17,47,-,S,S,-,-,-,-,-,-,-,-
675,Ludmilla,MBA,3.99,1.94,49,C,67.7,0.9,1,6.47e+17,3.14e+17,49,Y,S,S,-,-,Sw,S,73.99,15.05,20,X
679,Pax,MBA,4.95,1.45,29,C,65.1,1.9,3,7.14e+17,1.99e+17,28,-,I,K,-,-,L,L,4.99,1.62,32,C
680,Genoveva,MBA,4.37,2.06,47,C,84.7,1.7,2,1.39e+18,6.50e+17,47,-,XC,-,X,X,-,X,8.45,0.52,6,X
683,Lanzia,MBA,4.49,2.69,60,D,94.5,11.4,12,1.99e+18,9.50e+17,48,-,-,-,C,C,-,-,-,-,-,-
690,Wratislavia,MBA,1.30,0.44,34,C,135.9,2.4,2,1.71e+18,5.70e+17,33,-,CPF,-,B,B,-,B,7.81,1.77,23,X
691,Lehigh,MBA,2.07,1.35,65,D,83.0,11.6,14,6.20e+17,3.08e+17,50,-,CD:,-,-,-,-,-,-,-,-,-
694,Ekard,MBA,2.46,0.96,39,C,92.9,3.7,4,1.03e+18,3.83e+17,37,-,CP:,-,Caa,Ch,-,-,-,-,-,-
696,Leonora,MBA,2.41,1.22,51,D,80.9,3.0,4,6.68e+17,3.31e+17,50,-,XC,-,X,X,-,-,-,-,-,-
702,Alauda,MBA,2.70,1.94,72,D,189.0,12.7,7,9.54e+18,6.58e+18,69,-,C,B,C,X,-,B,1.64,0.99,60,D
704,Interamnia,MBA,2.10,0.38,18,A,318.3,10.9,3,3.54e+19,5.23e+18,15,Y,F,B,B,B,-,B,1.96,0.28,14,A
705,Erminia,MBA,4.02,2.39,60,D,131.4,5.5,4,4.78e+18,2.78e+18,58,-,X,C,X,X,-,-,-,-,-,-
709,Fringilla,MBA,4.12,1.98,48,C,96.9,3.1,3,1.96e+18,9.25e+17,47,-,X,-,-,-,-,-,-,-,-,-
712,Boliviana,MBA,1.83,0.62,34,C,136.9,3.4,3,2.45e+18,8.06e+17,33,-,C,X,-,-,-,-,-,-,-,-
